n_episode :20, score : 353.9, n_buffer : 3729, eps : 7.9%
n_episode :40, score : 439.0, n_buffer : 9716, eps : 7.8%
n_episode :60, score : 445.1, n_buffer : 11450, eps : 7.7%
n_episode :80, score : 469.2, n_buffer : 19220, eps : 7.6%
n_episode :100, score : 562.9, n_buffer : 21481, eps : 7.5%
n_episode :120, score : 494.9, n_buffer : 23568, eps : 7.4%
n_episode :140, score : 515.9, n_buffer : 31616, eps : 7.3%
n_episode :160, score : 470.6, n_buffer : 35614, eps : 7.2%
n_episode :180, score : 648.9, n_buffer : 46317, eps : 7.1%
n_episode :200, score : 564.3, n_buffer : 52486, eps : 7.0%
n_episode :220, score : 511.1, n_buffer : 56488, eps : 6.9%
n_episode :240, score : 664.9, n_buffer : 63153, eps : 6.8%
n_episode :260, score : 516.8, n_buffer : 73352, eps : 6.7%
n_episode :280, score : 489.4, n_buffer : 81529, eps : 6.6%
n_episode :300, score : 565.7, n_buffer : 87553, eps : 6.5%
n_episode :320, score : 575.4, n_buffer : 95890, eps : 6.4%
n_episode :340, score : 661.3, n_buffer : 98558, eps : 6.3%
n_episode :360, score : 546.5, n_buffer : 100000, eps : 6.2%
n_episode :380, score : 819.0, n_buffer : 100000, eps : 6.1%
n_episode :400, score : 596.1, n_buffer : 100000, eps : 6.0%
n_episode :420, score : 504.1, n_buffer : 100000, eps : 5.9%
n_episode :440, score : 557.9, n_buffer : 100000, eps : 5.8%
n_episode :460, score : 566.5, n_buffer : 100000, eps : 5.7%
n_episode :480, score : 532.0, n_buffer : 100000, eps : 5.6%
n_episode :500, score : 452.0, n_buffer : 100000, eps : 5.5%
n_episode :520, score : 507.9, n_buffer : 100000, eps : 5.4%
n_episode :540, score : 605.9, n_buffer : 100000, eps : 5.3%
n_episode :560, score : 514.1, n_buffer : 100000, eps : 5.2%
n_episode :580, score : 530.1, n_buffer : 100000, eps : 5.1%
n_episode :600, score : 619.0, n_buffer : 100000, eps : 5.0%
n_episode :620, score : 557.5, n_buffer : 100000, eps : 4.9%
n_episode :640, score : 467.8, n_buffer : 100000, eps : 4.8%
n_episode :660, score : 493.2, n_buffer : 100000, eps : 4.7%
n_episode :680, score : 563.1, n_buffer : 100000, eps : 4.6%
n_episode :700, score : 704.0, n_buffer : 100000, eps : 4.5%
n_episode :720, score : 562.5, n_buffer : 100000, eps : 4.4%
n_episode :740, score : 549.0, n_buffer : 100000, eps : 4.3%
n_episode :760, score : 482.6, n_buffer : 100000, eps : 4.2%
n_episode :780, score : 586.2, n_buffer : 100000, eps : 4.1%
n_episode :800, score : 409.2, n_buffer : 100000, eps : 4.0%
n_episode :820, score : 351.8, n_buffer : 100000, eps : 3.9%
n_episode :840, score : 376.8, n_buffer : 100000, eps : 3.8%
n_episode :860, score : 426.6, n_buffer : 100000, eps : 3.7%
n_episode :880, score : 381.9, n_buffer : 100000, eps : 3.6%
n_episode :900, score : 368.9, n_buffer : 100000, eps : 3.5%
n_episode :920, score : 401.9, n_buffer : 100000, eps : 3.4%
n_episode :940, score : 375.1, n_buffer : 100000, eps : 3.3%
n_episode :960, score : 357.1, n_buffer : 100000, eps : 3.2%
n_episode :980, score : 394.2, n_buffer : 100000, eps : 3.1%
n_episode :1000, score : 465.6, n_buffer : 100000, eps : 3.0%
n_episode :1020, score : 348.4, n_buffer : 100000, eps : 2.9%
n_episode :1040, score : 316.9, n_buffer : 100000, eps : 2.8%
n_episode :1060, score : 394.8, n_buffer : 100000, eps : 2.7%
n_episode :1080, score : 268.2, n_buffer : 100000, eps : 2.6%
n_episode :1100, score : 287.9, n_buffer : 100000, eps : 2.5%
n_episode :1120, score : 315.9, n_buffer : 100000, eps : 2.4%
n_episode :1140, score : 304.6, n_buffer : 100000, eps : 2.3%
n_episode :1160, score : 537.6, n_buffer : 100000, eps : 2.2%
n_episode :1180, score : 377.9, n_buffer : 100000, eps : 2.1%
n_episode :1200, score : 593.8, n_buffer : 100000, eps : 2.0%
n_episode :1220, score : 642.4, n_buffer : 100000, eps : 1.9%
n_episode :1240, score : 540.2, n_buffer : 100000, eps : 1.8%
n_episode :1260, score : 438.6, n_buffer : 100000, eps : 1.7%
n_episode :1280, score : 385.6, n_buffer : 100000, eps : 1.6%
n_episode :1300, score : 389.4, n_buffer : 100000, eps : 1.5%
n_episode :1320, score : 643.4, n_buffer : 100000, eps : 1.4%
n_episode :1340, score : 488.5, n_buffer : 100000, eps : 1.3%
n_episode :1360, score : 562.1, n_buffer : 100000, eps : 1.2%
n_episode :1380, score : 379.4, n_buffer : 100000, eps : 1.1%
n_episode :1400, score : 480.1, n_buffer : 100000, eps : 1.0%
n_episode :1420, score : 498.5, n_buffer : 100000, eps : 1.0%
n_episode :1440, score : 388.1, n_buffer : 100000, eps : 1.0%
n_episode :1460, score : 571.0, n_buffer : 100000, eps : 1.0%
n_episode :1480, score : 557.3, n_buffer : 100000, eps : 1.0%
n_episode :1500, score : 619.5, n_buffer : 100000, eps : 1.0%
n_episode :1520, score : 604.8, n_buffer : 100000, eps : 1.0%
n_episode :1540, score : 399.6, n_buffer : 100000, eps : 1.0%
n_episode :1560, score : 581.8, n_buffer : 100000, eps : 1.0%
n_episode :1580, score : 795.5, n_buffer : 100000, eps : 1.0%
n_episode :1600, score : 691.5, n_buffer : 100000, eps : 1.0%
n_episode :1620, score : 651.6, n_buffer : 100000, eps : 1.0%
n_episode :1640, score : 772.9, n_buffer : 100000, eps : 1.0%
n_episode :1660, score : 868.0, n_buffer : 100000, eps : 1.0%
